feature,variance,std,mean,zero_ratio,unique_ratio,is_constant,is_near_zero,is_high_zero
Active Max,14767790063.711042,121522.79647749652,3632.7039236666665,0.9891846666666667,0.001616,False,False,False
Active Mean,4399318367.816641,66327.35761219982,1427.734745142509,0.9891846666666667,0.0021726666666666665,False,False,False
Active Std,3122377523.939522,55878.23837541339,1631.0275920461684,0.99206,0.004042,False,False,True
Active Min,3037307044.6236715,55111.76865809762,500.46846266666665,0.9891846666666667,0.00033766666666666667,False,False,False
Fwd IAT Min,1299247000.302284,36045.0690150856,70.05046,0.08060733333333334,0.00010566666666666667,False,False,False
Flow IAT Min,1298475878.7621887,36034.37079736774,71.89635866666667,0.08300266666666667,0.00016333333333333334,False,False,False
Packet Length Variance,63796424.04435849,7987.266368687005,202.20466807317555,0.9239913333333334,0.000694,False,False,False
Bwd Packets/s,37193411.34950756,6098.640122970658,603.9606440393594,0.9660733333333333,0.008585,False,False,False
Subflow Fwd Bytes,27430353.43114314,5237.399491268843,1972.6052456666666,0.029751333333333334,0.0008603333333333333,False,False,False
Total Length of Fwd Packets,27430353.43114314,5237.399491268843,1972.6052456666666,0.029751333333333334,0.0008603333333333333,False,False,False
Total Length of Bwd Packets,14902143.686825614,3860.3294790504106,10.973905333333333,0.9705036666666667,0.00025866666666666665,False,False,False
Subflow Bwd Bytes,14902143.686825614,3860.3294790504106,10.973905333333333,0.9705036666666667,0.00025866666666666665,False,False,False
Init_Win_bytes_forward,3719803.1446250426,1928.6791191447692,590.0422256666667,2.8333333333333332e-05,0.000172,False,False,False
Average Packet Size,493955.52560577757,702.8196963701129,869.1267126000857,0.029729666666666668,0.0012853333333333334,False,False,False
Fwd Packet Length Min,214281.94054838314,462.9059737661452,597.4538596666666,0.030255,0.00044466666666666667,False,False,False
Min Packet Length,214278.68288308673,462.9024550411099,597.4467226666667,0.030296,0.00044333333333333334,False,False,False
Init_Win_bytes_backward,213389.54603216972,461.9410633751558,4.865304,0.032462333333333336,0.000138,False,False,False
Packet Length Mean,212630.68584448285,461.11894977812705,600.3429329611002,0.029729666666666668,0.0011613333333333332,False,False,False
Fwd Packet Length Mean,212533.4794163974,461.0135349600892,600.564335094205,0.029751333333333334,0.0009546666666666667,False,False,False
Avg Fwd Segment Size,212533.4794163974,461.0135349600892,600.564335094205,0.029751333333333334,0.000908,False,False,False
Max Packet Length,212145.16099024992,460.59218511634555,603.4869053333333,0.029729666666666668,0.0005083333333333333,False,False,False
Fwd Packet Length Max,211539.2756468599,459.93399053218485,603.1197576666667,0.029751333333333334,0.00048633333333333335,False,False,False
Total Fwd Packets,48982.55585890736,221.3200304059878,4.341656666666666,0.0,7.766666666666667e-05,False,False,False
Subflow Fwd Packets,48982.55585890736,221.3200304059878,4.341656666666666,0.0,7.766666666666667e-05,False,False,False
Bwd Packet Length Max,1294.0578755698516,35.97301593653014,0.7817193333333333,0.9705036666666667,0.000118,False,False,False
Packet Length Std,195.5050948212921,13.982313643360031,2.5883659749440953,0.9239913333333334,0.0006566666666666666,False,False,False
act_data_pkt_fwd,141.22472947839788,11.88380113761577,2.764367666666667,0.029904,6.9e-05,False,False,False
Fwd Packet Length Std,137.98347887012247,11.746636917438218,2.5985093390448366,0.9246013333333334,0.0005693333333333334,False,False,False
Avg Bwd Segment Size,123.84867943560623,11.128732157600265,0.36721104084147704,0.9705036666666667,0.000287,False,False,False
Bwd Packet Length Mean,123.84867943560623,11.128732157600265,0.36721104084147715,0.9705036666666667,0.00029266666666666666,False,False,False
Bwd Packet Length Std,122.73349590925272,11.078515058853904,0.17562559635377684,0.9996346666666667,0.00024966666666666665,False,False,True
Bwd Packet Length Min,8.493172552261852,2.9143048145761714,0.225873,0.970848,5.1e-05,False,False,False
Total Backward Packets,6.245098426299368,2.4990194929810707,0.09856633333333334,0.966073,4.433333333333333e-05,False,False,False
Subflow Bwd Packets,6.245098426299368,2.4990194929810707,0.09856633333333334,0.966073,4.433333333333333e-05,False,False,False
Bwd IAT Min,4.799687940477199,2.190819011346487,0.13429566666666667,0.9701906666666666,2.966666666666667e-05,False,False,False
ACK Flag Count,0.08903190294118986,0.2983821424636365,0.09879166666666667,0.9012083333333333,6.666666666666667e-07,False,False,False
Down/Up Ratio,0.027815594493087063,0.16678007822604912,0.026834333333333335,0.9737043333333333,4e-06,False,False,False
URG Flag Count,0.0009271391250463753,0.030448959342584687,0.000928,0.999072,6.666666666666667e-07,False,False,True
CWE Flag Count,0.0004947551399183822,0.0222430919594912,0.000495,0.999505,6.666666666666667e-07,False,False,True
RST Flag Count,0.0002532692399786354,0.015914434956310432,0.00025333333333333333,0.9997466666666667,6.666666666666667e-07,False,False,True
Fwd PSH Flags,0.0002532692399786354,0.015914434956310432,0.00025333333333333333,0.9997466666666667,6.666666666666667e-07,False,False,True
SYN Flag Count,2.8999168666389555e-05,0.005385087619193355,2.9e-05,0.999971,6.666666666666667e-07,False,False,True
FIN Flag Count,0.0,0.0,0.0,1.0,3.3333333333333335e-07,True,False,True
Bwd URG Flags,0.0,0.0,0.0,1.0,3.3333333333333335e-07,True,False,True
Bwd PSH Flags,0.0,0.0,0.0,1.0,3.3333333333333335e-07,True,False,True
Fwd URG Flags,0.0,0.0,0.0,1.0,3.3333333333333335e-07,True,False,True
Bwd Avg Bulk Rate,0.0,0.0,0.0,1.0,3.3333333333333335e-07,True,False,True
Bwd Avg Packets/Bulk,0.0,0.0,0.0,1.0,3.3333333333333335e-07,True,False,True
Bwd Avg Bytes/Bulk,0.0,0.0,0.0,1.0,3.3333333333333335e-07,True,False,True
Fwd Avg Bulk Rate,0.0,0.0,0.0,1.0,3.3333333333333335e-07,True,False,True
Fwd Avg Packets/Bulk,0.0,0.0,0.0,1.0,3.3333333333333335e-07,True,False,True
Fwd Avg Bytes/Bulk,0.0,0.0,0.0,1.0,3.3333333333333335e-07,True,False,True
PSH Flag Count,0.0,0.0,0.0,1.0,3.3333333333333335e-07,True,False,True
ECE Flag Count,0.0,0.0,0.0,1.0,3.3333333333333335e-07,True,False,True
